cod_ies;cod_municipio;nome_ies;sigla_ies;municipio;regiao;estado;sigla_estado;organizacao;rede;administracao;endereco;numero_endereco;complemento_endereco;bairro;cep;telefones;emails;site;latitude;longitude;local_coordenada
4;1301902;Universidade Federal Do Amazonas;UFAM;Itacoatiara;Norte;Amazonas;AM;Universidade;Pública;Federal;;;;;;;;;-3.14285707473755;-58.430793762207;INSTITUICAO
4;1302603;Universidade Federal Do Amazonas;UFAM;Manaus;Norte;Amazonas;AM;Universidade;Pública;Federal;Av. Rodrigo Otávio;6200;Campus Universitário;Coroado II;69077000;(92)3305-4513;gabinete@ufam.edu.br;www.ufam.edu.br;-3.10023880004883;-59.9765548706055;INSTITUICAO
4;1303403;Universidade Federal Do Amazonas;UFAM;Parintins;Norte;Amazonas;AM;Universidade;Pública;Federal;;;;;;;;;-2.65429329872131;-56.7488021850586;INSTITUICAO
5;2201903;Universidade Federal Do Piauí;UFPI;Bom Jesus;Nordeste;Piauí;PI;Universidade;Pública;Federal;;;;;;;;;-9.08450984954834;-44.326976776123;INSTITUICAO
5;2203909;Universidade Federal Do Piauí;UFPI;Floriano;Nordeste;Piauí;PI;Universidade;Pública;Federal;;;;;;;;;-6.78805017471313;-43.0412559509277;INSTITUICAO
5;2207702;Universidade Federal Do Piauí;UFPI;Parnaíba;Nordeste;Piauí;PI;Universidade;Pública;Federal;;;;;;;;;-2.90925407409668;-41.7543334960938;INSTITUICAO
5;2208007;Universidade Federal Do Piauí;UFPI;Picos;Nordeste;Piauí;PI;Universidade;Pública;Federal;;;;;;;;;-7.08182573318481;-41.4342613220215;INSTITUICAO
5;2211001;Universidade Federal Do Piauí;UFPI;Teresina;Nordeste;Piauí;PI;Universidade;Pública;Federal;Campus Universitário Ministro Petrônio Portela;S/N;Sg - 07;Ininga;64049550;(86)3215-5620,(86)3215-5621,(86)3215-1104;diretoria.avaliacao@ufpi.edu.br,adm.sup@ufpi.edu.br;www.ufpi.br;-5.05852746963501;-42.798469543457;INSTITUICAO
6;3136207;Universidade Federal De Ouro Preto;UFOP;João Monlevade;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;;;;;;;;;-19.8361911773682;-43.1677055358887;INSTITUICAO
6;3140001;Universidade Federal De Ouro Preto;UFOP;Mariana;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;;;;;;;;;-20.377326965332;-43.4188270568848;INSTITUICAO
6;3146107;Universidade Federal De Ouro Preto;UFOP;Ouro Preto;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;Rua Diogo De Vasconcelos;122;;Centro;35400000;(31)3559-1218;reitoria@ufop.br;www.ufop.br;-20.3969650268555;-43.5095291137695;INSTITUICAO
7;3503307;Universidade Federal De São Carlos;UFSCAR;Araras;Sudeste;São Paulo;SP;Universidade;Pública;Federal;;;;;;;;;-22.3144512176514;-47.383373260498;INSTITUICAO
7;3548906;Universidade Federal De São Carlos;UFSCAR;São Carlos;Sudeste;São Paulo;SP;Universidade;Pública;Federal;Via Washington Luis;S/N;Km 235;Monjolinho;13565905;(16)3351-8111;reitoria@ufscar.br;www.ufscar.br;-21.9838523864746;-47.881534576416;INSTITUICAO
7;3552205;Universidade Federal De São Carlos;UFSCAR;Sorocaba;Sudeste;São Paulo;SP;Universidade;Pública;Federal;;;;;;;;;-23.6008052825928;-47.5372734069824;INSTITUICAO
8;3126000;Universidade Federal De Viçosa;UFV;Florestal;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;;;;;;;;;-19.8839550018311;-44.4178237915039;INSTITUICAO
8;3155504;Universidade Federal De Viçosa;UFV;Rio Paranaíba;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;;;;;;;;;-19.2173442840576;-46.2217330932617;INSTITUICAO
8;3171303;Universidade Federal De Viçosa;UFV;Viçosa;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;Av. P.H. Rolfs;S/N;Campus Universitário;Campus Universitário;36570000;(31)3899-2101;reitoria@ufv.br,proplan@ufv.br;www.ufv.br;-20.7610702514648;-42.8701629638672;INSTITUICAO
9;4113700;Universidade Estadual De Londrina;UEL;Londrina;Sul;Paraná;PR;Universidade;Pública;Estadual;Rodovia Celso Garcia Cid/Pr 445;Km 380;Reitoria;Campus Universitário;86051990;(43)3371-4311;gabreitor@uel.br,proplandaai@uel.br;www.uel.br;-23.3241920471191;-51.2003555297852;INSTITUICAO
10;4106902;Pontifícia Universidade Católica Do Paraná;PUCPR;Curitiba;Sul;Paraná;PR;Universidade;Privada;Privada;Rua Imaculada Conceição;1155;;Prado Velho;80215901;(41)3271-2303,(41)9102-2090;alboni.vieira@pucpr.br,estatistica@pucpr.br;www.pucpr.br;-25.4518661499023;-49.2511100769043;INSTITUICAO
10;4113700;Pontifícia Universidade Católica Do Paraná;PUCPR;Londrina;Sul;Paraná;PR;Universidade;Privada;Privada;;;;;;;;;-23.2989501953125;-51.2106971740723;INSTITUICAO
10;4115200;Pontifícia Universidade Católica Do Paraná;PUCPR;Maringá;Sul;Paraná;PR;Universidade;Privada;Privada;;;;;;;;;-23.4164447784424;-51.9392051696777;INSTITUICAO
10;4125506;Pontifícia Universidade Católica Do Paraná;PUCPR;São José Dos Pinhais;Sul;Paraná;PR;Universidade;Privada;Privada;;;;;;;;;-25.5401935577393;-49.192512512207;INSTITUICAO
10;4127700;Pontifícia Universidade Católica Do Paraná;PUCPR;Toledo;Sul;Paraná;PR;Universidade;Privada;Privada;;;;;;;;;-24.7280921936035;-53.7678680419922;INSTITUICAO
11;2611606;Universidade Católica De Pernambuco;UNICAP;Recife;Nordeste;Pernambuco;PE;Universidade;Privada;Privada;Rua Do Príncipe;526;Campus Universitário;Boa Vista;50050900;(81)2119-4110,(81)2119-4206;prubens@unicap.br,hlima@unicap.br;www.unicap.br;-8.05489540100098;-34.8877639770508;INSTITUICAO
12;4315602;Universidade Federal Do Rio Grande;FURG;Rio Grande;Sul;Rio Grande Do Sul;RS;Universidade;Pública;Federal;Av. Itália;S/N;Km - 8;Carreiros;96201900;(53)3233-6730;reitoria@furg.br;www.furg.br;-32.0680351257324;-52.1615409851074;INSTITUICAO
12;4317301;Universidade Federal Do Rio Grande;FURG;Santa Vitória Do Palmar;Sul;Rio Grande Do Sul;RS;Universidade;Pública;Federal;;;;;;;;;-33.5346870422363;-53.382740020752;INSTITUICAO
12;4317608;Universidade Federal Do Rio Grande;FURG;Santo Antônio Da Patrulha;Sul;Rio Grande Do Sul;RS;Universidade;Pública;Federal;;;;;;;;;-29.8072624206543;-50.5288238525391;INSTITUICAO
12;4318804;Universidade Federal Do Rio Grande;FURG;São Lourenço Do Sul;Sul;Rio Grande Do Sul;RS;Universidade;Pública;Federal;;;;;;;;;-31.3674335479736;-51.9829940795898;INSTITUICAO
13;4302105;Universidade De Caxias Do Sul;UCS;Bento Gonçalves;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-29.148136138916;-51.5206260681152;INSTITUICAO
13;4304408;Universidade De Caxias Do Sul;UCS;Canela;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-29.3656330108643;-50.8163642883301;INSTITUICAO
13;4305108;Universidade De Caxias Do Sul;UCS;Caxias Do Sul;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;Rua Francisco Getúlio Vargas;1130;Bloco A;Petrópolis;95070560;(54)3218-2143;rec-cursos@ucs.br;www.ucs.br;-29.1614971160889;-51.1532592773438;INSTITUICAO
13;4307906;Universidade De Caxias Do Sul;UCS;Farroupilha;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-29.2111721038818;-51.3521957397461;INSTITUICAO
13;4309407;Universidade De Caxias Do Sul;UCS;Guaporé;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-28.9153633117676;-51.8642311096191;INSTITUICAO
13;4313300;Universidade De Caxias Do Sul;UCS;Nova Prata;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-28.7854423522949;-51.6107444763184;INSTITUICAO
13;4319505;Universidade De Caxias Do Sul;UCS;São Sebastião Do Caí;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-29.6155452728271;-51.3440132141113;INSTITUICAO
13;4322509;Universidade De Caxias Do Sul;UCS;Vacaria;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-28.5150623321533;-50.9062576293945;INSTITUICAO
14;4314902;Universidade Do Vale Do Rio Dos Sinos;UNISINOS;Porto Alegre;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-30.0272426605225;-51.1750869750977;INSTITUICAO
14;4318705;Universidade Do Vale Do Rio Dos Sinos;UNISINOS;São Leopoldo;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;Av. Unisinos, 950 Cristo Rei;950;Centro Comunitário;Cristo Rei;93022000;(51)3591-1122;elianam@unisinos.br;www.unisinos.br;-29.7955150604248;-51.1521186828613;INSTITUICAO
15;3303906;Universidade Católica De Petrópolis;UCP;Petrópolis;Sudeste;Rio De Janeiro;RJ;Universidade;Privada;Privada;Rua Benjamin Constant;213;;Centro;25610130;(24)2244-4000;reitor@ucp.br,reitoria@ucp.br,sintia.coelho@ucp.br;www.ucp.br;-22.5108203887939;-43.1844253540039;INSTITUICAO
17;3134202;Universidade Federal De Uberlândia;UFU;Ituiutaba;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;;;;;;;;;-19.0037078857422;-49.4570274353027;INSTITUICAO
17;3143104;Universidade Federal De Uberlândia;UFU;Monte Carmelo;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;;;;;;;;;-18.7244472503662;-47.5237808227539;INSTITUICAO
17;3148004;Universidade Federal De Uberlândia;UFU;Patos De Minas;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;;;;;;;;;-18.5909671783447;-46.5170783996582;INSTITUICAO
17;3170206;Universidade Federal De Uberlândia;UFU;Uberlândia;Sudeste;Minas Gerais;MG;Universidade;Pública;Federal;Avenida João Naves De Ávila;2121;Reitoria;Santa Mônica;38408144;(34)3239-4812;reitoria@ufu.br;www.ufu.br;-18.9184722900391;-48.2581748962402;INSTITUICAO
18;4314407;Universidade Católica De Pelotas;UCPEL;Pelotas;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;Rua Félix Da Cunha;412;;Centro;96010000;(53)2128-8000;ucpel@ucpel.tche.br;www.ucpel.tche.br;-31.7744579315186;-52.3412895202637;INSTITUICAO
19;3509502;Pontifícia Universidade Católica De Campinas;PUC-CAMPINAS;Campinas;Sudeste;São Paulo;SP;Universidade;Privada;Privada;Rodovia Dom Pedro I;Km 136;Prédio Da Reitoria;Campus Unidade Sede;13086900;(19)3343-7000;reitoria@puc-campinas.edu.br;www.puc-campinas.edu.br;-22.8321304321289;-47.0503425598145;INSTITUICAO
20;4304705;Universidade De Passo Fundo;UPF;Carazinho;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-28.2798442840576;-52.7687911987305;INSTITUICAO
20;4304903;Universidade De Passo Fundo;UPF;Casca;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-28.6120223999023;-51.9580154418945;MUNICIPIO
20;4311304;Universidade De Passo Fundo;UPF;Lagoa Vermelha;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-28.2021312713623;-51.5189018249512;INSTITUICAO
20;4313706;Universidade De Passo Fundo;UPF;Palmeira Das Missões;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-27.8898963928223;-53.3104476928711;INSTITUICAO
20;4314100;Universidade De Passo Fundo;UPF;Passo Fundo;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;Upf Campus Passo Fundo - Campus I;S/Nº;Br 285 - Km 171;São José;99001970;(54)3316-8113;reitoria@upf.br;www.upf.br;-28.2344932556152;-52.3804397583008;INSTITUICAO
20;4320107;Universidade De Passo Fundo;UPF;Sarandi;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-27.9457855224609;-52.9263648986816;INSTITUICAO
20;4320800;Universidade De Passo Fundo;UPF;Soledade;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;;;;;;;;;-28.8107280731201;-52.5080184936523;INSTITUICAO
21;4314902;Pontifícia Universidade Católica Do Rio Grande Do Sul;PUCRS;Porto Alegre;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;Av. Ipiranga, 6681.;6681;;Partenon;90619900;(51)3320-3630;ceda@pucrs.br,coord.avaliacao@pucrs.br;www.pucrs.br;-30.0589256286621;-51.1730194091797;INSTITUICAO
22;3505708;Universidade Presbiteriana Mackenzie;MACKENZIE;Barueri;Sudeste;São Paulo;SP;Universidade;Privada;Privada;;;;;;;;;-23.4881896972656;-46.8322868347168;INSTITUICAO
22;3509502;Universidade Presbiteriana Mackenzie;MACKENZIE;Campinas;Sudeste;São Paulo;SP;Universidade;Privada;Privada;;;;;;;;;-22.8855533599854;-47.0685081481934;INSTITUICAO
22;3550308;Universidade Presbiteriana Mackenzie;MACKENZIE;São Paulo;Sudeste;São Paulo;SP;Universidade;Privada;Privada;Rua Da Consolação;896;Campus São Paulo;Consolação;1302907;(11)2114-8391;legislacao.normas@mackenzie.br;www.mackenzie.com.br;-23.5481243133545;-46.6504364013672;INSTITUICAO
23;4313409;Universidade Feevale;FEEVALE;Novo Hamburgo;Sul;Rio Grande Do Sul;RS;Universidade;Privada;Privada;Rua 239, Nº 2755. Vila Nova.;2755;;Vila  Nova;93352000;(51)3586-8800,(51)3586-8613;moanam@feevale.br,mn@feevale.br,prograd@feevale.br;www.feevale.br;-29.6628665924072;-51.1182518005371;INSTITUICAO
24;2913606;Universidade Estadual De Santa Cruz;UESC;Ilhéus;Nordeste;Bahia;BA;Universidade;Pública;Estadual;Km 16 Da Rodovia Ilhéus Itabuna;S/N;;Salobrinho;45662900;(73)3680-5311;reitoria@uesc.br;www.uesc.br;-14.7967672348022;-39.1733818054199;INSTITUICAO
27;3106200;Universidade Vale Do Rio Verde;UNINCOR;Belo Horizonte;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;;;;;;;;;-19.93039894104;-43.9623489379883;INSTITUICAO
27;3106705;Universidade Vale Do Rio Verde;UNINCOR;Betim;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;;;;;;;;;-19.9686489105225;-44.2015419006348;INSTITUICAO
27;3147105;Universidade Vale Do Rio Verde;UNINCOR;Pará De Minas;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;;;;;;;;;-19.8535995483398;-44.5740661621094;INSTITUICAO
27;3169307;Universidade Vale Do Rio Verde;UNINCOR;Três Corações;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;Av. Castelo Branco, 82, Chácara Das Rosas.;82;;Chácara Das Rosas;37410000;(35)3239-1136;reitoria@unincor.edu.br;www.unincor.br;-21.692720413208;-45.2597312927246;INSTITUICAO
29;2304103;Universidade Estadual Do Ceará;UECE;Crateús;Nordeste;Ceará;CE;Universidade;Pública;Estadual;;;;;;;;;-5.18643712997437;-40.6430778503418;INSTITUICAO
29;2304400;Universidade Estadual Do Ceará;UECE;Fortaleza;Nordeste;Ceará;CE;Universidade;Pública;Estadual;Av. Paranjana, 1700, Serrinha.;1700;Campus Universitário;Serrinha;60740000;(85)3101-9610;reitor@uece.br,ueceprograd@gmail.com;www.uece.br;-3.78795838356018;-38.5532073974609;INSTITUICAO
29;2305506;Universidade Estadual Do Ceará;UECE;Iguatu;Nordeste;Ceará;CE;Universidade;Pública;Estadual;;;;;;;;;-6.36708974838257;-39.2993507385254;INSTITUICAO
29;2306405;Universidade Estadual Do Ceará;UECE;Itapipoca;Nordeste;Ceará;CE;Universidade;Pública;Estadual;;;;;;;;;-3.48908948898315;-39.569507598877;INSTITUICAO
29;2307601;Universidade Estadual Do Ceará;UECE;Limoeiro Do Norte;Nordeste;Ceará;CE;Universidade;Pública;Estadual;;;;;;;;;-5.14777565002441;-38.1011390686035;INSTITUICAO
29;2311306;Universidade Estadual Do Ceará;UECE;Quixadá;Nordeste;Ceará;CE;Universidade;Pública;Estadual;;;;;;;;;-4.96842193603516;-39.0244293212891;INSTITUICAO
29;2313302;Universidade Estadual Do Ceará;UECE;Tauá;Nordeste;Ceará;CE;Universidade;Pública;Estadual;;;;;;;;;-6.00536155700684;-40.2838401794434;INSTITUICAO
30;3101607;Universidade José Do Rosário Vellano;UNIFENAS;Alfenas;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;Rodovia Mg 179 - Km 0;S/N;;Campus Universitário;37130000;(35)3299-3257;unifenas@unifenas.br;www.unifenas.br;-21.4531383514404;-45.9456977844238;INSTITUICAO
30;3106200;Universidade José Do Rosário Vellano;UNIFENAS;Belo Horizonte;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;;;;;;;;;-19.8407096862793;-43.9647216796875;INSTITUICAO
30;3111200;Universidade José Do Rosário Vellano;UNIFENAS;Campo Belo;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;;;;;;;;;-20.8802471160889;-45.2703399658203;INSTITUICAO
30;3122306;Universidade José Do Rosário Vellano;UNIFENAS;Divinópolis;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;;;;;;;;;-20.1265296936035;-44.9012641906738;INSTITUICAO
30;3170701;Universidade José Do Rosário Vellano;UNIFENAS;Varginha;Sudeste;Minas Gerais;MG;Universidade;Privada;Privada;;;;;;;;;-21.5759334564209;-45.4434623718262;INSTITUICAO
32;2704302;Universidade Estadual De Ciências Da Saúde De Alagoas - Uncisal;UNCISAL;Maceió;Nordeste;Alagoas;AL;Universidade;Pública;Estadual;Rua Jorge De Lima;113;;Trapiche Da Barra;57010300;(82)3315-6705,(82)3315-6702;reitoria@uncisal.edu.br;www.uncisal.edu.br;-9.67360305786133;-35.7587509155273;INSTITUICAO
33;3552205;Faculdade De Tecnologia De Sorocaba;FATEC SO;Sorocaba;Sudeste;São Paulo;SP;Faculdade;Pública;Estadual;Avenida Engenheiro Carlos Reinaldo Mendes;2015;;Alto Da Boa Vista;18013280;(15)3238-5266;diretoria.academica@fatecsorocaba.edu.br;www.fatecsorocaba.edu.br;-23.4805393218994;-47.4259643554688;INSTITUICAO
34;3550308;Faculdade De Tecnologia De São Paulo;FATEC-SP;São Paulo;Sudeste;São Paulo;SP;Faculdade;Pública;Estadual;Praça Coronel Fernando Prestes;30;;Bom Retiro;1124060;(11)3322-2202;secdir@fatecsp.br;www.fatecsp.br;-23.5296592712402;-46.6323318481445;INSTITUICAO
35;3501608;Faculdade De Tecnologia De Americana;FATEC-AM;Americana;Sudeste;São Paulo;SP;Faculdade;Pública;Estadual;Avenida Nossa Senhora De Fátima;567;;Nossa Senhora De Fátima;13478540;(19)3406-5776,(19)3406-5639;academica@fatec.edu.br;www.fatec.edu.br;-22.7396869659424;-47.3501625061035;INSTITUICAO
36;3548500;Faculdade De Tecnologia Rubens Lara;FATEC-BS;Santos;Sudeste;São Paulo;SP;Faculdade;Pública;Estadual;Avenida Bartolomeu De Gusmão;110;;Aparecida;11045908;;mari_fatecbs@yahoo.com.br;www.fatecbs.edu.br;-23.9426536560059;-46.3263702392578;INSTITUICAO
37;3525300;Faculdade De Tecnologia De Jahu;FATEC-JAHU;Jaú;Sudeste;São Paulo;SP;Faculdade;Pública;Estadual;Rua Frei Galvão;S/N;;Jardim Pedro Ometto;17212599;(14)3622-8280;secretaria@fatecjahu.edu.br;www.fatecjahu.edu.br;-22.3143978118896;-48.5481986999512;INSTITUICAO
40;2900702;Universidade Do Estado Da Bahia;UNEB;Alagoinhas;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-12.1778087615967;-38.4133796691895;INSTITUICAO
40;2903201;Universidade Do Estado Da Bahia;UNEB;Barreiras;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-12.1430006027222;-44.9629707336426;INSTITUICAO
40;2903904;Universidade Do Estado Da Bahia;UNEB;Bom Jesus Da Lapa;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-13.2513427734375;-43.4069747924805;INSTITUICAO
40;2904605;Universidade Do Estado Da Bahia;UNEB;Brumado;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-14.2002382278442;-41.6620101928711;INSTITUICAO
40;2905206;Universidade Do Estado Da Bahia;UNEB;Caetité;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-14.0690689086914;-42.4941940307617;INSTITUICAO
40;2905701;Universidade Do Estado Da Bahia;UNEB;Camaçari;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-12.6797752380371;-38.357593536377;INSTITUICAO
40;2905800;Universidade Do Estado Da Bahia;UNEB;Camamu;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-13.946361541748;-39.1022300720215;INSTITUICAO
40;2907905;Universidade Do Estado Da Bahia;UNEB;Cipó;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-11.1000623703003;-38.5188293457031;INSTITUICAO
40;2908408;Universidade Do Estado Da Bahia;UNEB;Conceição Do Coité;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-11.5712537765503;-39.271354675293;INSTITUICAO
40;2909703;Universidade Do Estado Da Bahia;UNEB;Cristópolis;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-12.2358102798462;-44.4191932678223;INSTITUICAO
40;2910701;Universidade Do Estado Da Bahia;UNEB;Euclides Da Cunha;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-10.5038242340088;-39.0097503662109;INSTITUICAO
40;2910727;Universidade Do Estado Da Bahia;UNEB;Eunápolis;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-16.3583316802979;-39.5791320800781;INSTITUICAO
40;2911709;Universidade Do Estado Da Bahia;UNEB;Guanambi;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-14.2294025421143;-42.7678565979004;INSTITUICAO
40;2913903;Universidade Do Estado Da Bahia;UNEB;Ipiaú;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-14.1316814422607;-39.7342109680176;INSTITUICAO
40;2914604;Universidade Do Estado Da Bahia;UNEB;Irecê;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-11.2978811264038;-41.8299179077148;INSTITUICAO
40;2914703;Universidade Do Estado Da Bahia;UNEB;Itaberaba;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-12.5216732025146;-40.2886276245117;INSTITUICAO
40;2917508;Universidade Do Estado Da Bahia;UNEB;Jacobina;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-11.1732892990112;-40.5636291503906;INSTITUICAO
40;2918407;Universidade Do Estado Da Bahia;UNEB;Juazeiro;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-9.41867351531982;-40.4888877868652;INSTITUICAO
40;2919207;Universidade Do Estado Da Bahia;UNEB;Lauro De Freitas;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-12.8996286392212;-38.3263893127441;INSTITUICAO
40;2924009;Universidade Do Estado Da Bahia;UNEB;Paulo Afonso;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-9.40019989013672;-38.2125778198242;INSTITUICAO
40;2927408;Universidade Do Estado Da Bahia;UNEB;Salvador;Nordeste;Bahia;BA;Universidade;Pública;Estadual;Estrada Das Barreiras - Narandiba;S/N;;Cabula;41195001;(71)3117-2354,(71)3117-2734;lvalentim@uneb.br;www.uneb.br;-12.9527769088745;-38.4594612121582;INSTITUICAO
40;2928703;Universidade Do Estado Da Bahia;UNEB;Santo Antônio De Jesus;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-12.9657039642334;-39.2538909912109;INSTITUICAO
40;2929909;Universidade Do Estado Da Bahia;UNEB;Seabra;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-12.4257230758667;-41.769287109375;INSTITUICAO
40;2930105;Universidade Do Estado Da Bahia;UNEB;Senhor Do Bonfim;Nordeste;Bahia;BA;Universidade;Pública;Estadual;;;;;;;;;-10.4706916809082;-40.1704940795898;INSTITUICAO
