cod_curso;cod_ies;cod_municipio;cod_area;area;modalidade;conceito_enade_faixa;conceito_enade_continuo;conceito_enade_ano;inscritos;participantes;conceito_curso_faixa;conceito_curso_continuo;conceito_curso_ano
112818;2;5300108;23;Enfermagem;Presencial;5;4.22340;2016;65;62;4;3.65260;2016
112872;2;5300108;6306;Engenharia;Presencial;3;2.72250;2017;66;62;4;3.16820;2017
112887;2;5300108;5806;Engenharia Elétrica;Presencial;-1;-1.00000;2017;87;65;-1;-1.00000;2017
112889;2;5300108;6306;Engenharia;Presencial;3;2.84390;2017;40;36;4;3.08960;2017
122204;2;5300108;4003;Engenharia Da Computação;Presencial;5;4.18190;2017;62;53;4;3.30570;2017
122206;2;5300108;6208;Engenharia De Produção;Presencial;4;3.86160;2017;84;78;4;3.24750;2017
122210;2;5300108;3002;Geografia (Licenciatura);A Distância;3;2.72370;2017;54;49;4;3.57180;2017
122212;2;5300108;100;Administração Pública;Presencial;4;3.44765;2018;96;72;3;2.64557;2018
122214;2;5300108;2402;História (Licenciatura);Presencial;5;3.96150;2017;56;51;4;3.47420;2017
122220;2;5300108;4301;Música (Licenciatura);Presencial;3;2.17200;2017;31;21;3;2.33950;2017
300118;2;5300108;1501;Química (Bacharelado);Presencial;3;2.86700;2017;22;18;4;3.04890;2017
300129;2;5300108;3001;Geografia (Bacharelado);Presencial;4;3.09600;2017;48;42;4;3.08170;2017
1138293;2;5300108;21;Arquitetura E Urbanismo;Presencial;4;3.36360;2017;123;110;3;2.93940;2017
1138344;2;5300108;38;Serviço Social;Presencial;5;4.03112;2018;74;66;4;3.27168;2018
1138345;2;5300108;29;Turismo;Presencial;5;4.03717;2018;74;59;4;2.99528;2018
1138346;2;5300108;3202;Filosofia (Licenciatura);Presencial;4;2.95400;2017;24;16;4;2.98580;2017
1140035;2;5300108;6307;Engenharia Ambiental;Presencial;5;4.41850;2017;60;58;4;3.84280;2017
1140082;2;5300108;1501;Química (Bacharelado);Presencial;3;2.45470;2017;31;27;4;2.98000;2017
1140088;2;5300108;19;Farmácia;Presencial;4;3.46350;2016;29;26;4;3.04930;2016
1192413;2;5300108;3501;Educação Física (Bacharelado);Presencial;5;4.28990;2016;53;37;4;3.41720;2016
1192414;2;5300108;6008;Engenharia Química;Presencial;4;3.26180;2017;68;67;4;3.27580;2017
1192419;2;5300108;27;Fonoaudiologia;Presencial;4;3.86370;2016;12;12;4;3.86760;2016
1269978;2;5300108;6306;Engenharia;Presencial;4;3.67300;2017;21;17;4;3.61560;2017
294;3;2806701;5710;Engenharia Civil;Presencial;4;3.49260;2017;85;75;4;3.19030;2017
295;3;2806701;6008;Engenharia Química;Presencial;4;3.07540;2017;35;34;4;3.45850;2017
297;3;2806701;702;Matemática (Licenciatura);Presencial;3;2.07170;2017;55;46;3;2.86440;2017
299;3;2806701;6008;Engenharia Química;Presencial;5;4.05200;2017;6;6;5;4.21190;2017
302;3;2800308;23;Enfermagem;Presencial;4;3.51600;2016;89;68;3;2.73140;2016
303;3;2800308;12;Medicina;Presencial;3;2.65490;2016;53;53;4;3.09040;2016
304;3;2800308;6;Odontologia;Presencial;4;3.04870;2016;46;46;3;2.80630;2016
306;3;2806701;22;Ciências Contábeis;Presencial;3;2.90274;2018;80;75;3;2.85370;2018
308;3;2806701;2;Direito;Presencial;5;4.69313;2018;140;117;4;3.20301;2018
310;3;2806701;3001;Geografia (Bacharelado);Presencial;5;3.97740;2017;13;10;5;4.13850;2017
311;3;2806701;2402;História (Licenciatura);Presencial;3;2.41100;2017;35;22;3;2.83840;2017
315;3;2806701;2001;Pedagogia (Licenciatura);Presencial;4;3.06080;2017;136;118;4;3.21020;2017
317;3;2806701;4004;Ciência Da Computação (Bacharelado);Presencial;4;3.17130;2017;39;31;4;3.39520;2017
318;3;2806701;5401;Ciências Sociais (Bacharelado);Presencial;3;2.19620;2017;31;10;4;3.01340;2017
319;3;2806701;17;Agronomia;Presencial;4;3.10820;2016;25;24;4;3.32620;2016
321;3;2806701;701;Matemática (Bacharelado);Presencial;3;2.08150;2017;8;6;3;1.96640;2017
322;3;2806701;1501;Química (Bacharelado);Presencial;3;2.48310;2017;19;17;4;3.33090;2017
326;3;2806701;3202;Filosofia (Licenciatura);Presencial;2;1.74180;2017;24;19;3;2.85900;2017
327;3;2806701;1602;Ciências Biológicas (Licenciatura);Presencial;4;3.06360;2017;79;68;4;3.21440;2017
328;3;2806701;3002;Geografia (Licenciatura);Presencial;4;3.56220;2017;26;23;4;3.47310;2017
20190;3;2806701;1601;Ciências Biológicas (Bacharelado);Presencial;3;2.38610;2017;24;18;3;2.80680;2017
20762;3;2806701;1;Administração;Presencial;5;3.97351;2018;198;158;4;3.14651;2018
20763;3;2806701;5402;Ciências Sociais (Licenciatura);Presencial;-1;-1.00000;2017;6;0;-1;-1.00000;2017
20764;3;2806701;13;Ciências Econômicas;Presencial;3;1.94520;2018;78;67;3;2.69184;2018
20767;3;2806701;1401;Física (Bacharelado);Presencial;3;2.92670;2017;8;7;4;3.96520;2017
20768;3;2806701;1402;Física (Licenciatura);Presencial;2;1.29150;2017;32;27;3;2.49530;2017
20782;3;2806701;1502;Química (Licenciatura);Presencial;4;3.00680;2017;29;23;4;3.18310;2017
40149;3;2806701;6002;Engenharia De Alimentos;Presencial;4;3.29330;2017;9;7;4;3.13510;2017
49512;3;2806701;1401;Física (Bacharelado);Presencial;2;1.16180;2017;23;21;4;3.12880;2017
49673;3;2806701;6405;Engenharia Florestal;Presencial;2;1.41520;2017;19;17;4;3.51180;2017
52852;3;2806701;18;Psicologia;Presencial;4;3.58410;2018;56;50;4;3.19684;2018
64064;3;2806701;38;Serviço Social;Presencial;4;3.25953;2018;84;74;4;3.03175;2018
80418;3;2806701;5806;Engenharia Elétrica;Presencial;5;4.13870;2017;29;24;4;3.83980;2017
80419;3;2806701;2501;Artes Visuais (Licenciatura);Presencial;2;1.22440;2017;32;24;3;2.35890;2017
80420;3;2806701;803;Comunicação Social - Jornalismo;Presencial;4;3.46424;2018;79;65;4;3.18370;2018
80877;3;2806701;904;Letras-Português (Licenciatura);Presencial;3;2.21910;2017;59;55;4;2.95830;2017
80886;3;2806701;6407;Letras - Inglês;Presencial;3;2.33470;2017;41;33;3;2.54780;2017
80896;3;2806701;905;Letras-Português E Inglês (Licenciatura);Presencial;4;3.01220;2017;34;31;3;2.77640;2017
94033;3;2806701;51;Zootecnia;Presencial;3;2.06310;2016;46;40;4;3.12160;2016
95017;3;2802908;4006;Sistemas De Informação;Presencial;3;2.62270;2017;15;14;4;3.44740;2017
95033;3;2802908;1;Administração;Presencial;3;2.87051;2018;78;71;3;2.79758;2018
95037;3;2802908;1602;Ciências Biológicas (Licenciatura);Presencial;3;2.07980;2017;65;62;4;3.02240;2017
95044;3;2802908;22;Ciências Contábeis;Presencial;3;2.56653;2018;42;38;3;2.57758;2018
95050;3;2802908;1402;Física (Licenciatura);Presencial;3;2.33670;2017;6;5;3;2.87770;2017
95051;3;2802908;3002;Geografia (Licenciatura);Presencial;3;2.52040;2017;20;18;4;3.26260;2017
95053;3;2802908;904;Letras-Português (Licenciatura);Presencial;2;1.30640;2017;31;20;3;2.25800;2017
95055;3;2802908;702;Matemática (Licenciatura);Presencial;2;1.60900;2017;31;29;3;2.73340;2017
95057;3;2802908;2001;Pedagogia (Licenciatura);Presencial;2;1.94400;2017;58;46;3;2.69350;2017
95059;3;2802908;1502;Química (Licenciatura);Presencial;3;2.16670;2017;31;30;4;3.00370;2017
98609;3;2806701;19;Farmácia;Presencial;4;3.13960;2016;75;70;4;3.20250;2016
99400;3;2806701;5902;Engenharia Mecânica;Presencial;3;2.73940;2017;74;65;3;2.63560;2017
99402;3;2806701;6306;Engenharia;Presencial;3;2.11760;2017;25;13;3;2.93050;2017
99404;3;2806701;28;Nutrição;Presencial;4;3.29290;2016;53;43;4;3.31150;2016
99406;3;2806701;4006;Sistemas De Informação;Presencial;4;3.37330;2017;20;12;4;3.51260;2017
99411;3;2800308;36;Fisioterapia;Presencial;5;4.05820;2016;52;47;4;3.11060;2016
99413;3;2800308;27;Fonoaudiologia;Presencial;2;1.69570;2016;37;35;3;2.14740;2016
99416;3;2806701;6208;Engenharia De Produção;Presencial;4;3.41570;2017;66;57;4;3.00380;2017
99418;3;2806701;67;Secretariado Executivo;Presencial;3;2.14914;2018;69;61;3;2.65698;2018
99420;3;2806701;29;Turismo;Presencial;3;2.32098;2018;48;33;3;2.84585;2018
99423;3;2806701;3501;Educação Física (Bacharelado);Presencial;3;2.49490;2016;25;18;3;2.49610;2016
99425;3;2806701;4301;Música (Licenciatura);Presencial;3;2.24550;2017;69;39;3;2.66770;2017
99426;3;2806701;906;Letras-Português E Espanhol (Licenciatura);Presencial;3;2.50640;2017;23;21;3;2.26300;2017
99444;3;2803609;21;Arquitetura E Urbanismo;Presencial;4;3.67940;2017;42;31;4;2.94890;2017
101666;3;2806701;3502;Educação Física (Licenciatura);Presencial;3;2.87750;2017;16;15;3;2.94420;2017
106404;3;2806701;702;Matemática (Licenciatura);A Distância;2;1.40890;2017;27;21;3;2.45020;2017
106408;3;2806701;1502;Química (Licenciatura);A Distância;4;3.68500;2017;4;2;4;4.22830;2017
106411;3;2806701;1602;Ciências Biológicas (Licenciatura);A Distância;2;1.21740;2017;23;20;3;2.44580;2017
106416;3;2806701;3002;Geografia (Licenciatura);A Distância;2;1.25510;2017;58;42;3;2.60340;2017
106418;3;2806701;2402;História (Licenciatura);A Distância;2;1.23850;2017;50;40;3;2.37870;2017
106421;3;2806701;904;Letras-Português (Licenciatura);A Distância;2;1.11250;2017;82;49;3;2.59930;2017
116188;3;2806701;4003;Engenharia Da Computação;Presencial;5;4.44090;2017;3;2;4;4.05480;2017
116216;3;2806701;804;Comunicação Social - Publicidade E Propaganda;Presencial;4;3.56081;2018;62;54;3;2.77197;2018
116220;3;2806701;5806;Engenharia Elétrica;Presencial;3;2.58280;2017;30;25;3;2.91960;2017
116324;3;2806701;81;Relações Internacionais;Presencial;5;4.83055;2018;38;34;4;3.64001;2018
1108064;3;2806701;26;Design;Presencial;4;3.17711;2018;43;34;3;2.88412;2018
1108066;3;2806701;6307;Engenharia Ambiental;Presencial;5;4.03800;2017;11;11;4;3.67290;2017
1108067;3;2806701;5;Medicina Veterinária;Presencial;4;3.49650;2016;41;41;4;3.22690;2016
1108149;3;2803500;23;Enfermagem;Presencial;5;4.35130;2016;35;35;4;3.62960;2016
1108154;3;2803500;19;Farmácia;Presencial;3;2.36410;2016;27;26;4;3.02350;2016
1108158;3;2803500;28;Nutrição;Presencial;5;4.24370;2016;23;22;4;3.56390;2016
1108163;3;2803500;36;Fisioterapia;Presencial;4;3.56620;2016;35;33;4;3.35570;2016
1108170;3;2803500;27;Fonoaudiologia;Presencial;3;1.99360;2016;38;30;3;2.80610;2016
1109548;3;2806701;6306;Engenharia;Presencial;3;2.12740;2017;35;30;3;2.68460;2017
1116573;3;2806701;100;Administração Pública;A Distância;3;2.26118;2018;61;43;3;2.66872;2018
1158648;3;2806701;1401;Física (Bacharelado);Presencial;1;0.24050;2017;4;4;3;2.04110;2017
1182904;3;2806701;701;Matemática (Bacharelado);Presencial;3;2.01450;2017;5;5;3;2.32170;2017
376;4;1302603;2;Direito;Presencial;5;4.33249;2018;126;109;3;2.72834;2018
377;4;1302603;38;Serviço Social;Presencial;4;3.71220;2016;96;84;4;3.02439;2018
378;4;1302603;13;Ciências Econômicas;Presencial;2;1.82313;2018;69;54;3;2.38269;2018
379;4;1302603;702;Matemática (Licenciatura);Presencial;3;2.08610;2017;35;27;3;2.80640;2017
380;4;1302603;3202;Filosofia (Licenciatura);Presencial;3;2.33000;2017;21;18;3;2.54790;2017
381;4;1302603;2001;Pedagogia (Licenciatura);Presencial;4;3.19760;2017;102;98;4;3.05610;2017
382;4;1302603;1502;Química (Licenciatura);Presencial;3;2.31480;2017;30;26;3;2.76010;2017
383;4;1302603;5710;Engenharia Civil;Presencial;5;4.07880;2017;60;53;4;3.15980;2017
385;4;1302603;6405;Engenharia Florestal;Presencial;3;2.61990;2017;32;32;4;3.09520;2017
